distance_of_the_route_Km,longitude,latitude,body_characteristic_length,fuel_l,sensors,Ranking
100,54,10,23,50,12,High
40,57,8,19,25,10,Lowest
120,55,8,39,55,17,Highest
70,50,7,34,40,15,Low
90,59,9,28,45,13,Low
95,53,10,34,45,15,high
45,52,9,19,25,10,Lowest
115,55,9,39,50,17,Highest
60,51,9,34,40,12,Low
80,52,10,28,40,13,Low
85,59,6,34,45,13,Low
35,55,7,19,25,10,Lowest
110,55,10,39,50,17,Highest
30,58,6,19,25,10,Lowest
100,54,10,23,50,12,High
40,57,8,19,25,10,Lowest
120,55,8,39,55,17,Highest
70,50,7,34,40,15,Low
90,59,9,28,45,13,Low
95,53,10,34,45,15,high
45,52,9,19,25,10,Lowest
115,55,9,39,50,17,Highest
60,51,9,34,40,12,Low
80,52,10,28,40,13,Low
85,59,6,34,45,13,Low
35,55,7,19,25,10,Lowest
110,55,10,39,50,17,Highest
30,58,6,19,25,10,Lowest
100,54,10,23,50,12,High
40,57,8,19,25,10,Lowest
120,55,8,39,55,17,Highest
70,50,7,34,40,15,Low
90,59,9,28,45,13,Low
95,53,10,34,45,15,high
45,52,9,19,25,10,Lowest
115,55,9,39,50,17,Highest
60,51,9,34,40,12,Low
80,52,10,28,40,13,Low
85,59,6,34,45,13,Low
35,55,7,19,25,10,Lowest
110,55,10,39,50,17,Highest
30,58,6,19,25,10,Lowest
100,54,10,23,50,12,High
40,57,8,19,25,10,Lowest
120,55,8,39,55,17,Highest
70,50,7,34,40,15,Low
90,59,9,28,45,13,Low
95,53,10,34,45,15,high
45,52,9,19,25,10,Lowest
115,55,9,39,50,17,Highest
60,51,9,34,40,12,Low
80,52,10,28,40,13,Low
85,59,6,34,45,13,Low
35,55,7,19,25,10,Lowest
110,55,10,39,50,17,Highest
30,58,6,19,25,10,Lowest

